code,name,orgId
002323,雅博股份,9900009449
002324,普利特,9900009450
002325,洪涛股份,9900009509
002326,永太科技,9900009510
002327,富安娜,9900009727
002328,新朋股份,9900009728
002329,皇氏集团,9900009827
002330,得利斯,9900009828
002331,皖通科技,9900009829
002332,仙琚制药,9900009947
002333,罗普斯金,9900009948
002334,英威腾,9900010031
002335,科华数据,9900010032
002336,人人乐,9900010033
002337,赛象科技,9900010087
002338,奥普光电,9900010088
002339,积成电子,9900010251
002340,格林美,9900010252
002341,新纶新材,9900010253
002342,巨力索具,9900010327
002343,慈文传媒,9900010328
002344,海宁皮城,9900010329
002345,潮宏基,9900010347
002346,柘中股份,9900010348
002347,泰尔股份,9900010349
002348,高乐股份,9900010387
002349,精华制药,9900010389
002350,北京科锐,9900010388
002351,漫步者,9900010447
002352,顺丰控股,9900010448
002353,杰瑞股份,9900010449
002354,天娱数科,9900010489
002355,兴民智通,9900010490
002356,赫美集团,9900010491
002357,富临运业,9900010527
002359,北讯退,9900010529
002360,同德化工,9900010767
002361,神剑股份,9900010768
002362,汉王科技,9900010769
002363,隆基机械,9900010847
002364,中恒电气,9900010848
002365,永安药业,9900010849
002367,康力电梯,9900010928
002368,太极股份,9900010929
002369,卓翼科技,9900011030
002370,亚太药业,9900011032
002371,北方华创,9900006137
002372,伟星新材,9900011087
002373,千方科技,9900011088
002374,中锐股份,9900011089
002375,亚厦股份,9900011247
002376,新北洋,9900011249
002377,国创高新,9900011248
002378,章源钨业,9900011447
002379,宏创控股,9900011448
002380,科远智慧,9900011449
002381,双箭股份,9900011547
002382,蓝帆医疗,9900011548
002383,合众思壮,9900011549
002384,东山精密,9900011647
002385,大北农,9900011648
002386,天原股份,9900011649
002387,维信诺,9900011728
002388,新亚制程,9900011729
002389,航天彩虹,9900011727
002390,信邦制药,9900011847
002391,长青股份,9900011848
002392,北京利尔,9900012090
002393,力生制药,9900012091
002394,联发股份,9900012092
002395,双象股份,9900012130
002396,星网锐捷,9900012131
002397,梦洁股份,9900012129
002398,垒知集团,9900012290
002399,海普瑞,9900012288
002400,省广集团,9900012289
002401,中远海科,9900012287
002402,和而泰,9900012348
002403,爱仕达,9900012349
002404,嘉欣丝绸,9900012350
002405,四维图新,9900012447
002406,远东传动,9900012448
002407,多氟多,9900012449
002408,齐翔腾达,9900012450
002409,雅克科技,9900012610
002410,广联达,9900012609
002412,汉森制药,9900012608
002413,雷科防务,9900012690
002414,高德红外,9900012687
002415,海康威视,9900012688
002416,爱施德,9900012689
002418,康盛股份,9900012728
002419,天虹股份,9900012729
002420,毅昌科技,9900012730
002421,达实智能,9900012787
002422,科伦药业,9900012788
002423,中粮资本,9900012789
002424,贵州百灵,9900012790
002425,凯撒文化,9900012831
002426,胜利精密,9900012832
002428,云南锗业,9900012834
002429,兆驰股份,9900012873
002430,杭氧股份,9900012874
002431,棕榈股份,9900012875
002432,九安医疗,9900012876
002434,万里扬,9900012932
